,Unnamed: 0,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,warna_kulit,tone_kulit
9186,9186,2021-11-25T14:46:21.000Z,845986,sayaulfi,35 - 39,630,Total Effects 7 in 1 Night Cream,Olay,5,(51),Shopee,Night Cream,Moisturizer,19 - 24,Less than 1 week,n,4,sayaulfi recommends this product!,,
9187,9187,2021-11-25T14:43:56.000Z,985004,frilia_audrey,25 - 29,83215,Primer Lipomask,Jacquelle,4.6,(25),FD Try and Review,Mask Sheet,Mask,19 - 24,1 week - 1 month,y,5,frilia_audrey recommends this product!,,
9188,9188,2021-11-25T14:42:03.000Z,985003,kusumahadi,19 - 24,83215,Primer Lipomask,Jacquelle,4.4,(12323),Beauty Studio,Mask Sheet,Mask,Dry,More than 1 year,y,5,kusumahadi recommends this product!,Medium Light,Neutral
9189,9189,2021-11-25T14:41:08.000Z,921306,Dinputriand,25 - 29,88450,Miracles Hair Mask,Pantene,4.8,(55),FD Try and Review,Hair Mask,Treatment,19 - 24,Less than 1 week,y,5,Dinputriand recommends this product!,,
9190,9190,2021-11-25T14:39:39.000Z,984997,TharyshaNM,19 - 24,83215,Primer Lipomask,Jacquelle,4.6,(69),Beauty Studio,Mask Sheet,Mask,18 and Under,1 month - 3 months,n,5,TharyshaNM recommends this product!,,
9191,9191,2021-11-25T14:39:37.000Z,985000,Putrajaya,25 - 29,83215,Primer Lipomask,Jacquelle,4.7,(65),Sample,Mask Sheet,Mask,Oily,1 month - 3 months,n,5,Putrajaya recommends this product!,Light,Neutral
9192,9192,2021-11-25T14:39:21.000Z,872405,234nikkeyustria,25 - 29,89000,Powerful Daisy Serum,Kindy Glow,4.8,(18),Beauty Studio,Serum \\u0026 Essence,Treatment,Combination,More than 1 year,n,5,234nikkeyustria recommends this product!,Medium Light,Neutral
9193,9193,2021-11-25T14:38:11.000Z,19520,thiny2,25 - 29,64593,0.2 mm Therapy Air Mask,Etude House,3.8,(119),Shopee,Mask Sheet,Mask,Combination,Less than 1 week,y,5,thiny2 recommends this product!,Medium,Neutral
9194,9194,2021-11-25T14:35:55.000Z,123078,ulans,19 - 24,81130,UV Defender Matte & Fresh,L'Oreal Paris,3.8,(21),Shopee,Sun Protection,Moisturizer,18 and Under,3 months - 6 months,n,5,ulans recommends this product!,,
9195,9195,2021-11-25T14:35:38.000Z,984995,yesicago,19 - 24,83215,Primer Lipomask,Jacquelle,4.9,(17),Shopee,Mask Sheet,Mask,Dry,Less than 1 week,y,5,yesicago recommends this product!,Medium Light,Neutral
9196,9196,2021-11-25T14:35:36.000Z,921306,Dinputriand,25 - 29,88448,Miracles Conditioner,Pantene,4.4,(69),FD Try and Review,Conditioner,Shampoo \\u0026 Conditioner,Dry,Less than 1 week,y,5,Dinputriand recommends this product!,Medium Light,Neutral
9197,9197,2021-11-25T14:35:19.000Z,651692,celcy21,19 - 24,66267,C White Lightening Serum,Azarine Cosmetics,4,(1),Shopee,Serum \\u0026 Essence,Treatment,Oily,6 months - 1 year,y,5,celcy21 recommends this product!,Medium Light,Neutral
9198,9198,2021-11-25T14:33:17.000Z,443910,amalia_annufus,19 - 24,80741,Centella Herb Serum Unscented,the Aubree,4.3,(3005),Gift,Serum \\u0026 Essence,Treatment,19 - 24,1 week - 1 month,n,2,amalia_annufus doesn't recommend this product! ,,
9199,9199,2021-11-25T14:32:12.000Z,984999,sebastians,19 - 24,83215,Primer Lipomask,Jacquelle,3.2,(7642),Shopee,Mask Sheet,Mask,19 - 24,1 week - 1 month,n,5,sebastians recommends this product!,,
9200,9200,2021-11-25T14:29:57.000Z,985002,helluamukty,19 - 24,83215,Primer Lipomask,Jacquelle,4.5,(2),Beauty Studio,Mask Sheet,Mask,Oily,Less than 1 week,y,5,helluamukty recommends this product!,Medium,Neutral
9201,9201,2021-11-25T14:29:52.000Z,967502,puputnah,18 and Under,89004,Sleepy Daisy Night Cream,Kindy Glow,4.8,(22),Tokopedia,Night Cream,Moisturizer,Normal,1 week - 1 month,y,5,puputnah recommends this product!,Medium Light,Neutral
9202,9202,2021-11-25T14:26:38.000Z,459753,camilaplv,19 - 24,77675,Anti Acne & Brightening Serum,Azarine Cosmetics,4.1,(18),Instagram,Acne Treatment,Treatment,25 - 29,1 week - 1 month,n,5,camilaplv recommends this product!,,
9203,9203,2021-11-25T14:25:23.000Z,984994,amalia_dety,19 - 24,77675,Anti Acne & Brightening Serum,Azarine Cosmetics,5,(16),Instagram,Acne Treatment,Treatment,Oily,6 months - 1 year,y,5,amalia_dety recommends this product!,Medium,Neutral
9204,9204,2021-11-25T14:24:37.000Z,967502,puputnah,19 - 24,89003,Happy Daisy Day Cream,Kindy Glow,5,(18),Tokopedia,Day Cream,Moisturizer,Combination,1 week - 1 month,y,5,puputnah recommends this product!,Dark,Neutral
9205,9205,2021-11-25T14:22:55.000Z,437709,atini,19 - 24,80475,Soft Matte Lipstick,3CE,5,(20),FD Try and Review,Lipstick,Lips,Oily,Less than 1 week,y,5,atini recommends this product!,Medium,Neutral
